field_1,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat,centroid_x,centroid_y,KG
14209,,Ukraine,Europe,SWBD,1,0,59.54,79.84,2.92,297.98,0.0,3,5.0,2.706,1274.5,-1,1.34,1275.9,28.985939,45.399743,28.97813956,45.49292508,7
14214,,Ukraine,Europe,SWBD,1,0,88.79,62.73,1.88,632.95,0.0,3,7.1,2.713,2700.3,0,1.68,950.7,28.413542,45.336911,28.33685151,45.42398546,7
14217,,Russia,Europe,SWBD,1,0,57.06,46.68,1.74,192.11,0.0,3,3.4,1.136,1957.3,-5,0.96,149.4,37.436458,45.330702,37.46920911,45.28084581,25
14229,,Ukraine,Europe,SWBD,1,0,74.3,79.56,2.6,256.57,0.0,3,3.5,2.61,1137.8,-2,0.93,1239.7,33.419334,45.198538,33.48175132,45.2017391,7
14232,,Russia,Europe,SWBD,1,0,51.88,42.21,1.65,229.62,0.0,3,4.4,265.069,10.0,24,1.24,34566.5,39.532333,45.158874,39.52787781,45.12952691,25
14234,,Romania,Europe,SWBD,1,0,14.65,19.67,1.45,14.65,0.0,3,1.0,0.041,4136.2,-1,0.25,41.9,29.205699,45.143895,29.18190605,45.14814426,7
14238,,Romania,Europe,SWBD,1,0,13.73,25.15,1.91,13.73,0.0,3,1.0,0.046,3454.1,-1,0.23,57.0,29.501895,45.077272,29.48950377,45.09141032,7
14240,,France,Europe,SWBD,1,0,57.66,49.44,1.84,440.23,0.0,3,7.6,5.735,888.5,12,1.95,445.3,-1.13125,45.06496,-1.110748881,45.13721707,15
14244,,Kazakhstan,Asia,SWBD,1,0,32.65,36.85,1.82,118.28,0.0,3,3.6,14.864,92.1,338,1.15,17859.8,74.054911,45.050113,74.04366818,45.01713976,5
14249,,Russia,Europe,SWBD,1,0,41.51,37.57,1.64,404.41,0.0,3,9.7,0.62,7549.4,229,2.59,172.7,41.699642,45.01924,41.75082741,45.04005697,25
14260,,Romania,Europe,SWBD,1,0,18.81,20.41,1.33,160.43,0.0,3,8.5,1.478,1256.3,-2,2.73,1011.6,28.806955,44.895057,28.76569832,44.91554826,7
14261,,Romania,Europe,SWBD,1,0,20.2,17.98,1.13,20.2,0.0,3,1.0,0.067,3490.0,-3,0.42,93.7,29.213542,44.86875,29.19417326,44.87044433,7
14300,,Russia,Europe,SWBD,1,0,38.82,32.48,1.47,134.23,0.0,3,3.5,0.427,3638.5,620,1.07,132.0,42.231382,44.239536,42.29584698,44.23160678,26
14302,,Romania,Europe,SWBD,1,0,16.48,25.0,1.74,63.75,0.0,3,3.9,0.299,2467.8,-1,1.41,91.6,28.622917,44.227083,28.59964402,44.24832004,7
14305,,Romania,Europe,SWBD,1,0,19.59,22.29,1.42,265.25,0.0,3,13.5,14.704,208.8,7,4.04,2618.8,27.636458,44.180149,27.63633972,44.15479472,7
14316,,China,Asia,SWBD,2,5836,58.11,76.15,2.82,1501.9,1501.9,2,25.8,27.812,625.0,182,3.57,4996.3,125.7462,43.962626,125.8261866,43.88439379,21
14331,,Kazakhstan,Asia,SWBD,1,0,61.98,50.37,1.81,342.54,0.0,3,5.5,0.675,5873.5,618,1.45,613.0,76.528265,43.67164,76.57532472,43.68536431,7
14338,,Japan,Asia,SWBD,1,0,78.54,57.4,1.83,2941.01,0.0,3,37.4,6.224,5469.1,119,7.28,334.0,144.341759,43.564059,144.3103006,43.61707594,26
14339,,Uzbekistan,Asia,SWBD,1,0,27.24,28.83,1.56,27.24,0.0,3,1.0,1.008,312.8,49,0.34,3647.5,59.86875,43.55874,59.83414757,43.53958333,5
14344,,Uzbekistan,Asia,SWBD,1,0,57.55,145.2,5.4,81.29,0.0,3,1.4,0.0,-1.0,49,0.45,7056.3,58.481243,43.522921,58.37675875,43.48332954,5
14353,Thau,France,Europe,SWBD,1,0,68.64,69.32,2.36,254.72,0.0,3,3.7,6.39,461.4,-2,1.01,367.0,3.701278,43.419662,3.605121568,43.39297743,8
14354,,Kazakhstan,Asia,SWBD,1,0,46.93,35.08,1.44,167.79,0.0,3,3.6,37.71,51.5,403,1.06,7666.4,70.75129,43.414374,70.68474315,43.39994595,7
14355,,Uzbekistan,Asia,SWBD,1,0,25.31,30.1,1.69,25.76,0.0,3,1.0,0.162,1840.5,49,0.4,291.0,58.524563,43.413512,58.54716615,43.41319444,5
14357,Ch'a-han no-erh,China,Asia,SWBD,1,0,57.32,52.15,1.94,202.42,0.0,3,3.5,1.708,1371.7,1008,1.0,9400.9,114.860417,43.397917,114.8849945,43.40955905,7
14372,Biylikol,Kazakhstan,Asia,SWBD,1,0,77.28,55.14,1.77,103.74,0.0,3,1.3,34.418,34.9,436,0.41,5471.3,70.719792,43.121859,70.69290429,43.04079325,7
14434,,Bulgaria,Europe,SWBD,2,3969,18.93,29.89,1.94,305.8,305.8,2,16.1,0.325,10890.3,1104,5.48,71.0,24.201815,42.018475,24.18890397,41.98250488,26
14438,,Italy,Europe,SWBD,1,0,64.24,35.27,1.24,1008.85,0.0,3,15.7,1.644,7102.5,-4,3.57,392.4,15.678547,41.905172,15.74540699,41.87861966,7
14442,,Spain,Europe,SWBD,2,2712,14.31,62.07,4.63,229.0,229.0,2,16.0,2.947,899.4,1077,4.49,555.3,-2.703681,41.875379,-2.717709045,41.86736247,15
14478,,Greece,Europe,SWBD,1,0,53.42,60.63,2.34,463.51,0.0,3,8.7,82.309,65.2,30,2.22,11722.4,23.226044,41.140805,23.14375758,41.19592855,7
14485,,Uzbekistan,Asia,SWBD,1,0,37.24,178.84,8.27,37.24,0.0,3,1.0,0.0,-1.0,243,0.36,31150.4,67.997868,41.022055,67.96553757,40.95135512,7
14495,,Azerbaijan,Asia,SWBD,1,0,73.64,105.99,3.48,811.02,0.0,3,11.0,259.851,36.1,145,2.55,40560.7,46.16753,40.946653,46.0521964,40.98228923,7
14499,,Albania,Europe,SWBD,1,0,40.24,34.64,1.54,101.12,0.0,3,2.5,1.915,611.2,-7,0.8,109.1,19.458143,40.916864,19.49798521,40.93339545,8
14510,,Turkey,Asia,SWBD,1,0,45.31,40.29,1.69,589.36,0.0,3,13.0,3.172,2150.5,30,3.26,298.8,30.3305,40.731174,30.2432234,40.717213,14
14514,Volvi,Greece,Europe,SWBD,1,0,65.2,53.45,1.87,642.42,0.0,3,9.9,5.73,1297.6,30,2.37,1848.6,23.593201,40.652667,23.54538961,40.66242106,7
14520,Tai,China,Asia,SWBD,1,0,86.94,44.82,1.36,236.29,0.0,3,2.7,0.989,2765.2,1218,0.73,2296.2,112.685417,40.572917,112.6919056,40.56802083,7
